Recipe: Potion Absorption Inhibitor,191597,353694,0
Pattern: Slimy Expulsion Boots,193868,21015,387
Pattern: Toxic Thorn Footwraps,193869,27842,364
Pattern: String of Spiritual Knick-Knacks,193872,313360,0
Pattern: Old Spirit's Wristwraps,193873,254965,0
Pattern: Wind Spirit's Lasso,193880,330806,0
Pattern: Scale Rein Grips,193881,276978,0
Pattern: Venom-Steeped Stompers,193883,27735,352
Pattern: Amice of the Blue,194255,50742,317
Pattern: Hood of Surging Time,194256,34216,364
Pattern: Allied Wristguards of Time Dilation,194259,240228,0
Pattern: Blue Dragon Soles,194260,236191,0
Pattern: Temporal Spellthread,194262,114431,406
Pattern: Infurious Wildercloth Bolt,194269,23946,430
Plans: Allied Chestplate of Generosity,194489,281252,0
Plans: Allied Wristguard of Companionship,194490,287286,0
Plans: Frostfire Legguards of Preparation,194491,54430,338
Plans: Unstable Frostfire Belt,194492,72927,429
Plans: Black Dragon Touched Hammer,194503,95737,201
Plans: Alvin the Anvil,194508,431637,468
Design: Ring-Bound Hourglass,194640,357492,277
Design: Elemental Lariat,194641,1096947,0
Design: Choker of Shielding,194642,348568,0
Design: "Rhinestone" Sunglasses,194671,560848,289
Recipe: Timely Demise,198113,24284,391
Recipe: Filet of Fangs,198114,23093,422
Recipe: Seamoth Surprise,198115,22031,438
Recipe: Salt-Baked Fishcake,198116,20533,427
Recipe: Hoard of Draconic Delicacies,198132,326703,0
Plans: Prototype Regal Barding Framework,198714,25576,449
Technique: Cliffside Wylderdrake: Triple Head Horns,198893,28202,336
Schematic: Tinker: Breath of Neltharion,199229,42804,0
Schematic: Khaz'gorite Fisherfriend,199234,222515,287
Plans: Infurious Alloy,200102,21244,306
Tome of Polymorph: Duck,200205,207684,0
Formula: Illusion: Primal Mastery,200916,3008826,0
Elemental Codex of Ultimate Power,201740,1815881,0
Pattern: Bronzed Grip Wrappings,194266,206944,0
Schematic: Ol' Smoky,199227,200000,0
Formula: Illusion: Primal Air,200911,550000,0
Formula: Illusion: Primal Fire,200913,509375,0
Formula: Illusion: Primal Frost,200914,999999,0
